N6705C exported datalog

"Sample interval: 0.00100352"
"Trigger sample: 0"
"Date: Tue Sep  1 16:19:49 2020"

Sample,"Curr avg 3","Volt avg 4"
950,0.00201832,12.6014
951,0.00167757,12.6014
952,0.00218449,12.6012
953,0.00188581,12.6009
954,0.00165233,12.6013
955,0.00201201,12.601
956,0.00185846,12.6007
957,0.00174698,12.6009
958,0.00220343,12.6007
959,0.0016965,12.6018
960,0.00197836,12.6006
961,0.00212981,12.6009
962,0.00192157,12.6011
963,0.00154505,12.6011
964,0.00185426,12.6014
965,0.00192157,12.601
966,0.00171753,12.6008
967,0.00206881,12.6012
968,0.00213612,12.6009
969,0.0019384,12.6016
970,0.00177853,12.6007
971,0.00162498,12.6013
972,0.00186477,12.6015
973,0.00207722,12.6017
974,0.00155557,12.6011
975,0.00181429,12.6009
976,0.00218029,12.6012
977,0.00158502,12.6008
978,0.00198257,12.6005
979,0.00173646,12.6016
980,0.00181219,12.6014
981,0.00176802,12.6007
982,0.0020646,12.6004
983,0.00163129,12.6006
984,0.00186898,12.6005
985,0.00224339,12.6008
986,0.00168178,12.601
987,0.00183953,12.6009
988,0.00213612,12.6011
989,0.00166705,12.6014
990,0.00182271,12.6006
991,0.00194891,12.6004
992,0.00174277,12.6013
993,0.00208563,12.6001
994,0.00199098,12.601
995,0.00157871,12.6009
996,0.00208774,12.6011
997,0.00171122,12.6015
998,0.00178484,12.6011
999,0.00212139,12.6007
1000,0.00177012,12.6006
1001,0.00153453,12.6008
1002,0.00177853,12.6011
1003,0.00178905,12.6008
1004,0.00203094,12.6009
1005,0.00204567,12.6016
1006,0.00170491,12.6007
1007,0.00167967,12.6014
1008,0.00229598,12.6009
1009,0.0018206,12.6009
1010,0.00165233,12.6007
1011,0.00229598,12.6009
1012,0.00165022,12.6011
1013,0.00209405,12.6016
1014,0.00182271,12.6011
1015,0.00161657,12.6007
1016,0.00188791,12.6011
1017,0.00198046,12.6012
1018,0.00200991,12.6016
1019,0.00172384,12.6008
1020,0.00210036,12.601
1021,0.00183112,12.6011
1022,0.00222025,12.6007
1023,0.0018164,12.6007
1024,0.00159553,12.6012
1025,0.00203726,12.6007
1026,0.00181429,12.6012
1027,0.00195522,12.6011
1028,0.00174909,12.6011
1029,0.00189633,12.6005
1030,0.00186267,12.6013
1031,0.00207932,12.6011
1032,0.00166284,12.6009
1033,0.00174909,12.6009
1034,0.00178064,12.601
1035,0.00203726,12.6011
1036,0.00158922,12.6012
1037,0.00208774,12.6011
